,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
23,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,23,1.63,-20.70088889,42,2.16,-22.78733333,42,2.16,-22.78733333,16,2.58
24,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,23,1.63,-20.70088889,23,1.63,-20.70088889,42,2.16,-22.78733333,42,2.16,-22.78733333,16,2.58
25,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,42,2.16,-22.78733333,42,2.16,-22.78733333,16,2.58
26,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,23,1.63,-20.70088889,42,2.16,-22.78733333,23,1.63,-20.70088889,23,1.63,-20.70088889,42,2.16,-22.78733333,23,1.63,-20.70088889,16,2.58
27,42,2.16,-22.78733333,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,42,2.16,-22.78733333,42,2.16,-22.78733333,23,1.63,-20.70088889,42,2.16,-22.78733333,23,1.63,-20.70088889,16,2.58
28,42,2.16,-22.78733333,42,2.16,-22.78733333,42,2.16,-22.78733333,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,16,2.58
29,23,1.63,-20.70088889,23,1.63,-20.70088889,42,2.16,-22.78733333,42,2.16,-22.78733333,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,16,2.58
30,23,1.63,-20.70088889,23,1.63,-20.70088889,42,2.16,-22.78733333,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,16,2.58
31,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,40,1.33,-21.62566667,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,16,2.58
32,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,23,1.63,-20.70088889,40,1.33,-21.62566667,40,1.33,-21.62566667,23,1.63,-20.70088889,23,1.63,-20.70088889,16,2.58
