,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
101,24,1.66,1.367,24,1.66,1.367,42,2.16,1.997,24,1.66,1.367,24,1.66,1.367,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,16,2.58
102,42,2.16,1.997,42,2.16,1.997,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,16,2.58
103,24,1.66,1.367,42,2.16,1.997,24,1.66,1.367,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,16,2.58
104,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,24,1.66,1.367,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,42,2.16,1.997,16,2.58
105,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,40,1.33,0.126,22,1.54,0.04,22,1.54,0.04,16,2.58
106,22,1.54,0.04,40,1.33,0.126,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,40,1.33,0.126,22,1.54,0.04,22,1.54,0.04,16,2.58
107,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,40,1.33,0.126,22,1.54,0.04,22,1.54,0.04,40,1.33,0.126,40,1.33,0.126,16,2.58
108,22,1.54,0.04,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,22,1.54,0.04,22,1.54,0.04,40,1.33,0.126,22,1.54,0.04,22,1.54,0.04,16,2.58
109,40,1.33,0.126,40,1.33,0.126,22,1.54,0.04,40,1.33,0.126,22,1.54,0.04,40,1.33,0.126,40,1.33,0.126,22,1.54,0.04,22,1.54,0.04,16,2.58
110,40,1.33,0.126,40,1.33,0.126,22,1.54,0.04,40,1.33,0.126,22,1.54,0.04,40,1.33,0.126,40,1.33,0.126,22,1.54,0.04,40,1.33,0.126,16,2.58
111,40,1.33,0.126,40,1.33,0.126,22,1.54,0.04,22,1.54,0.04,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
112,40,1.33,0.126,40,1.33,0.126,22,1.54,0.04,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
113,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,72,1.3,0.347,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,16,2.58
114,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,72,1.3,0.347,40,1.33,0.126,40,1.33,0.126,72,1.3,0.347,16,2.58
115,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,40,1.33,0.126,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,40,1.33,0.126,40,1.33,0.126,16,2.58
